sku,product_name,category,collection,price,mrp,width_in,depth_in,height_in,installation_type,color,finish,style,water_efficiency,flow_rate_lpm,features,smart_features,description,source_url,last_verified_date
22535IN-4ND-CP,"Hone single-handle bathroom sink faucet, 14.0 lpm",Faucet,Hone,9739,11880,,,,Deck-mounted,,Polished Chrome,Minimalist,,14.0,Single handle; 20.2 cm spout height; 12.1 cm spout reach,,Bathroom sink faucet,https://www.kohler.co.in/p/washbasins/hone-single-handle-bathroom-sink-faucet-14-0-lpm-22535in-4nd,2026-09-17
22534IN-4ND-CP,"Hone single-handle bathroom sink faucet, 14.0 lpm",Faucet,Hone,7219,9500,,,,Deck-mounted,,Polished Chrome,Minimalist,,14.0,Single handle; 100 mm spout height; 12 cm spout reach,,Bathroom sink faucet,https://www.kohler.co.in/p/washbasins/hone-single-handle-bathroom-sink-faucet-14-0-lpm-22534in-4nd,2026-09-17
38467IN-4ND-CP,"Engage single-handle bathroom sink faucet, 5.6 lpm",Faucet,Engage,7209,8800,,,,Deck-mounted,,Polished Chrome,Contemporary,Low-flow,5.6,12.1 cm spout reach; 97 mm spout height; aerated flow,,Low-flow bathroom sink faucet,https://www.kohler.co.in/p/washbasins/engage-single-handle-bathroom-sink-faucet-5-6-lpm-38467in-4nd,2026-09-17
38465IN-4-CP,"Engage single-handle bathroom sink faucet, cold only, 12.5 lpm",Faucet,Engage,3249,4400,,,,Deck-mounted,,Polished Chrome,Contemporary,,12.5,Cold-water-only; single lever; 95 mm spout reach; 79 mm spout height,,Cold-water-only faucet,https://www.kohler.co.in/p/washbasins/engage-single-handle-bathroom-sink-faucet-cold-only-12-5-lpm-38465in-4,2026-09-17
38464IN-4ND-CP,"Engage wall-mount bathroom sink faucet trim, 7.5 lpm",Faucet,Engage,4039,5940,,,,Wall-mounted,,Polished Chrome,Contemporary,,7.5,Single lever; 16.5 cm spout reach; aerated flow,,Wall-mount faucet trim,https://www.kohler.co.in/p/washbasins/engage-wall-mount-bathroom-sink-faucet-trim-7-5-lpm-38464in-4nd,2026-09-17
38466IN-4-CP,"Engage Tall single-handle bathroom sink faucet, cold only, 12.5 lpm",Faucet,Engage,5189,7013,,,,Deck-mounted,,Polished Chrome,Contemporary,,12.5,Tall faucet; cold only; single handle,,Tall faucet,https://www.kohler.co.in/p/washbasins/engage-tall-single-handle-bathroom-sink-faucet-cold-only-12-5-lpm-38466in-4,2026-09-17
29199IN-4ND-RGD,"ModernLife Edge wall-mount bathroom sink faucet, 7.6 lpm",Faucet,ModernLife Edge,31479,46300,,,,Wall-mounted,,Vibrant Brushed Nickel,Minimalist,,7.6,Contemporary square design; single lever; 19.1 cm spout reach; ceramic disc valves,,Wall-mount bathroom sink faucet,https://www.kohler.co.in/p/washbasins/modernlife-edge-wm-lav-faucet-trim-valve-29199in-4nd,2026-09-17
75567IN-CP,Enlighten multifunction showerhead,Shower,Enlighten,1199,1700,,,,Wall-mounted,,Polished Chrome,Modern,,,Five spray experiences; thumb tab; MasterClean sprayface,,Multifunction showerhead,https://www.kohler.co.in/p/showers/enlighten-multifunction-showerhead-75567in,2026-09-17
75563IN-CP,"Radiate five-function showerhead, 7.6 lpm",Shower,Radiate,1319,1870,,,,Wall-mounted,,Polished Chrome,Contemporary,,7.6,Five spray experiences; MasterClean; thumb tab,,Five-function showerhead,https://www.kohler.co.in/p/showers/radiate-multifunction-showerhead-75563in,2026-09-17
72419IN-CP,Awaken geometric multi-mode showerhead with shower arm,Shower,Awaken,5609,6850,,,,Wall-mounted,,Polished Chrome,Contemporary,,,Three spray experiences; Racetrack Technology; MasterClean,,Multi-mode showerhead,https://www.kohler.co.in/p/showers/awaken-geometric-multi-mode-showerhead-with-shower-arm-in-polished-chrome-72419in,2026-09-17
16351IN-CP,Finial Traditional 14 cm single-function showerhead with shower arm and flange,Shower,Finial Traditional,4919,6000,,,,Wall-mounted,,Polished Chrome,Traditional,,,Katalyst air-induction; Racetrack Waterway; MasterClean,,Single-function showerhead,https://www.kohler.co.in/p/showers/finial-traditional-140mm-single-function-showerhead-with-shower-arm-and-flange-16351in,2026-09-17
16356IN-A-AF,"Complementary single-function showerhead, 23.0 lpm",Shower,Complementary,2899,3420,,,,Wall-mounted,,French Gold,Contemporary,,23.0,97 mm round showerhead; full coverage; Racetrack waterway; MasterClean,,Single-function showerhead,https://www.kohler.co.in/p/showers/sf-showerhead-with-arm-escutcheon-16356in-a,2026-09-17
16359IN-A-CP,"Complementary single-function handshower, 10.0 lpm",Shower,Complementary,2339,2760,,,,Wall-mounted,,Polished Chrome,Contemporary,,10.0,Wide coverage; ergonomic; 150 cm flexible hose; MasterClean,,Handshower,https://www.kohler.co.in/p/showers/complementary-single-function-handshower-with-hose-16359in-a,2026-09-17
21336IN-CP,"Shift+ Square two-function handshower, 13.1 lpm",Shower,Shift+,6149,7500,,,,Wall-mounted,,Polished Chrome,Contemporary,,13.1,Two spray experiences; push-button; Katalyst air-induction,,Two-function handshower,https://www.kohler.co.in/p/showers/shift-square-two-function-handshower-13-1-lpm-21336in,2026-09-17
76465IN-BL,Awaken 25.4 cm rainhead,Shower,Awaken,28449,34700,10.0,10.0,,Wall/ceiling-mounted,,Matte Black,Contemporary,,,Wide even coverage; swivel joint; MasterClean,,Rainhead,https://www.kohler.co.in/p/showers/awaken-254mm-rainhead-76465in,2026-09-17
30457IN-MWF,Prologue 75 cm wall-hung bathroom vanity cabinet,Vanity,Prologue,111099,116950,29.53,,,Wall-mounted,,Walnut wood finish,Minimalist,,,Two soft-close drawers; built-in dividers; moisture-resistant finish,,Bathroom vanity cabinet,https://www.kohler.co.in/p/bathroom-vanity/prologue-750-mm-wall-hung-bathroom-vanity-cabinet-30457in,2026-09-17
30458IN-MWF,Prologue 90 cm bathroom vanity cabinet,Vanity,Prologue,126299,132950,35.43,,,Wall-mounted,,Walnut wood finish,Minimalist,,,Two soft-close drawers; built-in dividers; deep bottom drawer,,Bathroom vanity cabinet,https://www.kohler.co.in/p/bathroom-vanity/prologue-900-mm-bathroom-vanity-cabinet-30458in,2026-09-17
31601IN-E64,Forefront 90 cm wall-hung bathroom vanity cabinet,Vanity,Forefront,102739,108150,35.43,,,Wall-mounted,,Walnut wood finish,Minimalist,,,Rounded edges; one door; one drawer; streamlined wall-hung design,,Bathroom vanity cabinet,https://www.kohler.co.in/p/bathroom-vanity/forefront-900-mm-wall-hung-bathroom-vanity-cabinet-31601in,2026-09-17
